HydroABC,JUIF-01,JUIF,1,1,333,0.3361,0.3000,0.7117,0.0132
HydroABC,URC-01,URC,1,1,390,0.3530,0.2900,0.7101,0.0138
HydroABC,URC-02,URC,1,2,0,0.3450,0.1750,0.7117,0.0144
HydroABC,PGC-01,PGC,1,1,504,0.2773,0.2850,0.7125,0.0118
HydroABC,PGC-02,PGC,1,2,0,0.3109,0.2250,0.6990,0.0198
HydroABC,LRC-01,LRC,1,1,448,0.3487,0.2550,0.7113,0.0116
HydroABC,LRC-02,LRC,1,2,0,0.2595,0.2100,0.7053,0.0160
HydroABC,LRGC-01*,LRGC,1,1,2072,0.2910,0.3500,0.7061,0.0144
HydroABC,LRGC-02*,LRGC,1,2,0,0.2949,0.2650,0.7098,0.0110
HydroABC,LRGC-03,LRGC,1,3,0,0.2685,0.2200,0.7113,0.0098
HydroABC,LRGC-04,LRGC,1,4,0,0.3047,0.2600,0.7173,0.0086
HydroABC,LRGC-05,LRGC,1,5,0,0.2885,0.2250,0.7121,0.0110
HydroABC,LRGC-06,LRGC,1,6,0,0.3240,0.2300,0.7098,0.0088
HydroABC,GC-01,GC,1,1,152,0.2644,0.2400,0.7093,0.0174
BlockA,2014-1,2014,1,1,19000,0.3264,0.3000,0.7053,0.0180
BlockA,2014-2,2014,1,2,0,0.3208,0.3000,0.7061,0.0196
BlockA,2014-3,2014,1,3,0,0.3176,0.2950,0.7053,0.0194
BlockA,2014-4,2014,1,4,0,0.3192,0.3000,0.7053,0.0200
BlockA,2014-5,2014,1,5,0,0.3023,0.2950,0.7053,0.0184
BlockA,2014-6,2014,1,6,0,0.3248,0.3000,0.7036,0.0206
BlockA,2014-7,2014,1,7,385,0.2805,0.2400,0.7028,0.0224
BlockA,2014-8,2014,1,8,0,0.3095,0.3100,0.7061,0.0174
BlockA,2014-9,2014,1,9,362,0.2805,0.2950,0.7044,0.0206
BlockA,2014-10,2014,1,10,390,0.3176,0.2900,0.7028,0.0240
BlockA,2014-11,2014,1,11,385,0.3151,0.3000,0.7061,0.0218
BlockA,2014-12,2014,1,12,0,0.3047,0.3000,0.7061,0.0208
BlockA,2014-13,2014,1,13,0,0.3127,0.2750,0.7044,0.0232
BlockA,2014-14,2014,1,14,0,0.3280,0.2850,0.7077,0.0208
BlockA,2014-15,2014,1,15,0,0.3216,0.2800,0.7053,0.0184
BlockA,2014-16,2014,1,16,0,0.3288,0.2900,0.7044,0.0204
BlockA,2014-17,2014,1,17,0,0.3135,0.2800,0.7020,0.0212
BlockA,2014-18,2014,1,18,0,0.3071,0.2900,0.7053,0.0216
BlockA,2014-19,2014,1,19,0,0.3039,0.2750,0.7061,0.0218
BlockA,2014-20,2014,1,20,0,0.3095,0.3000,0.7069,0.0218
BlockA,2014-21,2014,1,21,0,0.3256,0.3200,0.7061,0.0176
BlockA,2014-22,2014,1,22,0,0.3111,0.2800,0.7028,0.0230
BlockA,2014-23,2014,1,23,0,0.3208,0.3000,0.6996,0.0198
BlockA,2014-24,2014,1,24,0,0.3176,0.2800,0.7028,0.0212
BlockA,2014-25,2014,1,25,0,0.3192,0.2850,0.7028,0.0204
BlockA,2014-26,2014,1,26,0,0.3135,0.2750,0.7044,0.0190
BlockA,2014-27,2014,1,27,0,0.2966,0.3000,0.7028,0.0178
BlockA,2014-28,2014,1,28,0,0.3240,0.3200,0.7085,0.0202
BlockA,2014-29,2014,1,29,0,0.3192,0.3000,0.7028,0.0200
BlockA,2014-30,2014,1,30,0,0.3023,0.2800,0.7053,0.0206
BlockA,2014-31,2014,1,31,0,0.3055,0.2850,0.7036,0.0222
BlockA,2014-32,2014,1,32,0,0.3014,0.2950,0.7044,0.0206
BlockA,2014-33,2014,1,33,0,0.3031,0.3050,0.7028,0.0210
BlockA,2014-34,2014,1,34,0,0.2934,0.2800,0.7044,0.0200
BlockA,2014-35,2014,1,35,0,0.3256,0.3100,0.7061,0.0190
BlockA,2014-36,2014,1,36,0,0.3264,0.2800,0.7028,0.0214
BlockA,2014-37,2014,1,37,0,0.3031,0.2750,0.7061,0.0210
BlockA,2014-38,2014,1,38,0,0.3071,0.2700,0.7020,0.0226
BlockA,2014-39,2014,1,39,0,0.3216,0.3150,0.7069,0.0184
BlockA,2014-40,2014,1,40,0,0.3248,0.3150,0.7044,0.0230
BlockA,2014-41,2014,1,41,0,0.3337,0.3200,0.7028,0.0206
BlockA,2014-42,2014,1,42,0,0.3184,0.2950,0.7052,0.0188
BlockA,2014-43,2014,1,43,0,0.3079,0.2900,0.7044,0.0224
BlockA,2014-44,2014,1,44,0,0.3111,0.3300,0.7012,0.0234
BlockA,2014-45,2014,1,45,0,0.3111,0.2700,0.7028,0.0204
BlockA,2014-46,2014,1,46,0,0.3176,0.2950,0.7004,0.0226
BlockA,2014-47,2014,1,47,0,0.2978,0.2650,0.7021,0.0202
BlockA,2014-48,2014,1,48,0,0.3117,0.3150,0.7005,0.0174
BlockA,2014-49,2014,1,49,0,0.3271,0.3150,0.6998,0.0188
BlockA,2014-50,2014,1,50,0,0.2993,0.2800,0.7005,0.0192
